Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model,Estimation_Method,Distribution
-0.51727873,-0.15890034,0.6164368,-0.025575252,1.0853175,1,Sequential RNN,MAP,t-Distribution
-0.53890294,-0.0014494924,0.21033154,8.73505e-5,1.3299335,2,Sequential RNN,MAP,t-Distribution
-0.43864322,-0.15769093,0.63387024,-0.12446779,1.0869317,3,Sequential RNN,MAP,t-Distribution
-0.65343255,-0.1810855,0.7407718,0.078890935,1.0148554,4,Sequential RNN,MAP,t-Distribution
-0.59215456,-0.15502113,0.6185566,0.05207481,1.0765443,5,Sequential RNN,MAP,t-Distribution
-0.61530566,-0.131335,0.5200141,0.1412884,1.0853381,6,Sequential RNN,MAP,t-Distribution
-0.28537306,-0.09432816,0.3175627,-0.06760624,1.1297448,7,Sequential RNN,MAP,t-Distribution
-0.5219785,-0.1559114,0.5740863,0.04490592,1.0588977,8,Sequential RNN,MAP,t-Distribution
-0.46663195,-0.11875727,0.55958486,-0.16520007,1.1910044,9,Sequential RNN,MAP,t-Distribution
-0.5419912,-0.16897357,0.7115985,-0.072820164,1.0721864,10,Sequential RNN,MAP,t-Distribution
-0.5881683,-0.1346275,0.6020292,-0.014326957,1.1350937,11,Sequential RNN,MAP,t-Distribution
-0.6973761,-0.18205935,0.7855843,0.08471844,1.0091327,12,Sequential RNN,MAP,t-Distribution
-0.320149,-0.053188477,0.24296004,-0.13238229,1.2627597,13,Sequential RNN,MAP,t-Distribution
-0.33177227,-0.008803374,0.19145799,-0.2185552,1.3676728,14,Sequential RNN,MAP,t-Distribution
-0.70572984,-0.15847646,0.8016232,-0.037458096,1.1000412,15,Sequential RNN,MAP,t-Distribution
-0.50877166,-0.15444475,0.6987902,-0.13565809,1.1000843,16,Sequential RNN,MAP,t-Distribution
-0.6676395,-0.1347922,0.68372494,-0.019789582,1.1384964,17,Sequential RNN,MAP,t-Distribution
-0.5391955,0.0017028092,0.20659164,-0.02932142,1.3602225,18,Sequential RNN,MAP,t-Distribution
-0.7027821,-0.14767873,0.76434326,-0.033921294,1.1200389,19,Sequential RNN,MAP,t-Distribution
-0.5802466,-0.09900346,0.57589644,-0.11651249,1.2198662,20,Sequential RNN,MAP,t-Distribution
-0.6002116,-0.09446307,0.6248483,-0.13316514,1.2029915,21,Sequential RNN,MAP,t-Distribution
-0.64113975,-0.09817625,0.42735752,0.18971013,1.1222483,22,Sequential RNN,MAP,t-Distribution
-0.5277457,-0.14223096,0.6010595,-0.08006332,1.1489805,23,Sequential RNN,MAP,t-Distribution
-0.47096306,-0.13757701,0.47586334,0.07188756,1.0607891,24,Sequential RNN,MAP,t-Distribution
-0.52448785,-0.17159016,0.69837207,-0.062024485,1.0597304,25,Sequential RNN,MAP,t-Distribution
-0.45874882,-0.17266841,0.6281342,-0.02929507,1.0325781,26,Sequential RNN,MAP,t-Distribution
