Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.3753944,1.9956014,1.1941197,0.873995,0.59374225,29,5.0,MAP,t-Distribution,Sequential LSTM
2,0.025923623,2.0497777,1.2048872,0.86742437,0.6258998,29,5.0,MAP,t-Distribution,Sequential LSTM
3,-0.08163045,1.9389107,1.1410989,0.8224401,0.5910235,29,5.0,MAP,t-Distribution,Sequential LSTM
4,0.2374338,1.9412593,1.1137944,0.7832918,0.6129907,29,5.0,MAP,t-Distribution,Sequential LSTM
5,0.10222911,2.007551,1.1484494,0.8053105,0.6364274,29,5.0,MAP,t-Distribution,Sequential LSTM
6,0.7853189,2.0797706,1.2452501,0.9119293,0.61821747,29,5.0,MAP,t-Distribution,Sequential LSTM
7,0.6557045,2.252535,1.2976208,0.91621274,0.707406,29,5.0,MAP,t-Distribution,Sequential LSTM
8,-0.06791799,2.3871498,1.4260465,1.0421665,0.7119908,29,5.0,MAP,t-Distribution,Sequential LSTM
9,0.13438645,2.2406638,1.2159201,0.8066211,0.75913596,29,5.0,MAP,t-Distribution,Sequential LSTM
10,-0.3693842,2.0786402,1.1960387,0.84351355,0.65383625,29,5.0,MAP,t-Distribution,Sequential LSTM
11,-0.101914786,2.3733127,1.4332112,1.0577196,0.6964326,29,5.0,MAP,t-Distribution,Sequential LSTM
12,-0.9836045,2.086387,1.1307276,0.74902195,0.7079579,29,5.0,MAP,t-Distribution,Sequential LSTM
13,-1.4757946,2.678832,1.6478828,1.2361052,0.763733,29,5.0,MAP,t-Distribution,Sequential LSTM
14,-0.29405177,2.924687,1.8750439,1.4557997,0.77758145,29,5.0,MAP,t-Distribution,Sequential LSTM
15,0.5123522,2.0507524,1.0352484,0.62963986,0.7522911,29,5.0,MAP,t-Distribution,Sequential LSTM
16,-0.13391195,1.5650766,0.7321821,0.39951068,0.617013,29,5.0,MAP,t-Distribution,Sequential LSTM
17,0.2109383,2.577669,1.5932639,1.2000767,0.7292529,29,5.0,MAP,t-Distribution,Sequential LSTM
18,-0.87006533,2.713468,1.6930255,1.2854444,0.7559497,29,5.0,MAP,t-Distribution,Sequential LSTM
19,-0.95508695,2.0753326,1.0885625,0.69443065,0.73100495,29,5.0,MAP,t-Distribution,Sequential LSTM
20,0.36415818,2.7230687,1.5016451,1.0137888,0.90483767,29,5.0,MAP,t-Distribution,Sequential LSTM
21,-0.62094766,2.280107,1.2714882,0.86862975,0.74719054,29,5.0,MAP,t-Distribution,Sequential LSTM
22,0.026213802,2.344559,1.3420548,0.9416387,0.74266064,29,5.0,MAP,t-Distribution,Sequential LSTM
23,-0.1966472,1.9472381,1.0295289,0.66298115,0.6798442,29,5.0,MAP,t-Distribution,Sequential LSTM
24,0.99652064,2.3121452,1.363198,0.9841733,0.7029855,29,5.0,MAP,t-Distribution,Sequential LSTM
25,0.20964156,2.0615604,1.0764023,0.6829143,0.7298108,29,5.0,MAP,t-Distribution,Sequential LSTM
26,-0.07601952,2.5255313,1.5541672,1.1661887,0.71959203,29,5.0,MAP,t-Distribution,Sequential LSTM
27,-0.91039395,1.9201767,1.0454956,0.69613403,0.6479687,29,5.0,MAP,t-Distribution,Sequential LSTM
28,0.48713934,2.2065542,1.3443376,0.9999545,0.6387349,29,5.0,MAP,t-Distribution,Sequential LSTM
29,1.1241225,2.1578841,1.2280006,0.85659033,0.6888629,29,5.0,MAP,t-Distribution,Sequential LSTM
30,-0.16620584,1.9251838,1.0670687,0.7243238,0.63569653,29,5.0,MAP,t-Distribution,Sequential LSTM
31,0.182579,2.0633678,1.1109581,0.7305503,0.7055507,29,5.0,MAP,t-Distribution,Sequential LSTM
32,0.47099867,1.6429268,0.760374,0.40786827,0.6538002,29,5.0,MAP,t-Distribution,Sequential LSTM
33,0.3210341,2.062344,1.2117906,0.87206596,0.6300948,29,5.0,MAP,t-Distribution,Sequential LSTM
34,-0.48027855,1.850495,1.0503685,0.73078525,0.5927382,29,5.0,MAP,t-Distribution,Sequential LSTM
35,0.32489455,2.090824,1.1996317,0.8436752,0.66020036,29,5.0,MAP,t-Distribution,Sequential LSTM
36,-0.20033918,1.9977689,1.0767097,0.708824,0.68232584,29,5.0,MAP,t-Distribution,Sequential LSTM
37,0.29644892,2.1476839,1.2298013,0.8631844,0.6799725,29,5.0,MAP,t-Distribution,Sequential LSTM
38,-0.13075581,2.1102893,1.2362041,0.88708055,0.6475272,29,5.0,MAP,t-Distribution,Sequential LSTM
39,-0.32729086,1.882812,1.0575587,0.7279393,0.6113524,29,5.0,MAP,t-Distribution,Sequential LSTM
40,0.17089535,1.9554957,1.061284,0.7041214,0.6624372,29,5.0,MAP,t-Distribution,Sequential LSTM
41,-0.020149073,2.0136678,1.1171182,0.759022,0.6641691,29,5.0,MAP,t-Distribution,Sequential LSTM
42,-0.023634313,2.0789845,1.233248,0.8954473,0.6265265,29,5.0,MAP,t-Distribution,Sequential LSTM
43,0.81809324,1.8522074,1.0138679,0.67902154,0.6210467,29,5.0,MAP,t-Distribution,Sequential LSTM
44,-0.28524154,2.1129699,1.2591012,0.9180523,0.6325509,29,5.0,MAP,t-Distribution,Sequential LSTM
45,-0.3672187,2.2840102,1.323486,0.9398372,0.71156186,29,5.0,MAP,t-Distribution,Sequential LSTM
46,0.8952958,1.5926132,0.7649258,0.43433416,0.6131556,29,5.0,MAP,t-Distribution,Sequential LSTM
47,0.033126123,2.1108694,1.1817654,0.8106665,0.6882855,29,5.0,MAP,t-Distribution,Sequential LSTM
48,-0.6941787,1.8436942,0.995369,0.6565344,0.62844414,29,5.0,MAP,t-Distribution,Sequential LSTM
49,-0.59068143,2.4160235,1.4771172,1.102103,0.6955471,29,5.0,MAP,t-Distribution,Sequential LSTM
50,0.44586188,2.5528848,1.5243249,1.1135015,0.76196307,29,5.0,MAP,t-Distribution,Sequential LSTM
51,0.8768627,2.1969306,1.2433424,0.8624641,0.7064236,29,5.0,MAP,t-Distribution,Sequential LSTM
52,0.44497088,1.8071438,0.89695764,0.5334147,0.6742711,29,5.0,MAP,t-Distribution,Sequential LSTM
53,0.41074178,2.167155,1.2279952,0.8528797,0.695735,29,5.0,MAP,t-Distribution,Sequential LSTM
