Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.8049561,2.3962002,1.4228892,1.0341332,0.72103435,5,5.0,MAP,t-Distribution,Sequential RNN
2,-0.03596061,3.7996097,2.518914,2.0073838,0.94874656,5,5.0,MAP,t-Distribution,Sequential RNN
3,-0.22125132,2.4742482,1.4420229,1.0297356,0.76467836,5,5.0,MAP,t-Distribution,Sequential RNN
4,1.3038396,2.4551582,1.4092185,0.99145347,0.77483803,5,5.0,MAP,t-Distribution,Sequential RNN
5,0.34061053,2.4267342,1.4534976,1.0647714,0.7209791,5,5.0,MAP,t-Distribution,Sequential RNN
6,-0.23744404,2.5493262,1.5727562,1.1826985,0.7234486,5,5.0,MAP,t-Distribution,Sequential RNN
7,0.27952453,2.971581,1.960998,1.557355,0.7486456,5,5.0,MAP,t-Distribution,Sequential RNN
8,-0.5816548,2.4587858,1.5154747,1.1387011,0.69881034,5,5.0,MAP,t-Distribution,Sequential RNN
9,0.4384399,3.3338852,2.0505095,1.5379087,0.950732,5,5.0,MAP,t-Distribution,Sequential RNN
10,-0.61587024,2.4453163,1.3848573,0.961293,0.78559405,5,5.0,MAP,t-Distribution,Sequential RNN
11,-0.43561786,2.6951272,1.5072569,1.0328023,0.87998116,5,5.0,MAP,t-Distribution,Sequential RNN
12,0.48151648,2.6224093,1.5138378,1.0710566,0.82123613,5,5.0,MAP,t-Distribution,Sequential RNN
13,0.27681896,3.4030416,2.316916,1.8831002,0.804608,5,5.0,MAP,t-Distribution,Sequential RNN
14,-0.809324,4.360599,3.034891,2.5053818,0.98209214,5,5.0,MAP,t-Distribution,Sequential RNN
15,0.102666795,2.9028466,1.5839306,1.0571344,0.97706056,5,5.0,MAP,t-Distribution,Sequential RNN
16,0.42938882,2.3181987,1.2545878,0.82976454,0.78792906,5,5.0,MAP,t-Distribution,Sequential RNN
17,-0.37766847,2.4651885,1.4415187,1.0326484,0.75834054,5,5.0,MAP,t-Distribution,Sequential RNN
18,-0.19494638,3.819874,2.6074157,2.1231406,0.89819604,5,5.0,MAP,t-Distribution,Sequential RNN
19,-0.0043669455,2.7270415,1.4983655,1.0076126,0.91021013,5,5.0,MAP,t-Distribution,Sequential RNN
20,0.49573952,2.7829685,1.531205,1.0312306,0.9273136,5,5.0,MAP,t-Distribution,Sequential RNN
21,-0.3211972,2.1863215,1.1123492,0.6833875,0.79560477,5,5.0,MAP,t-Distribution,Sequential RNN
22,1.7599539,2.7021375,1.6661423,1.2523493,0.7674711,5,5.0,MAP,t-Distribution,Sequential RNN
23,0.30107945,2.5838702,1.4979306,1.064189,0.80447024,5,5.0,MAP,t-Distribution,Sequential RNN
24,-0.3233821,2.3403416,1.4037341,1.029638,0.6938441,5,5.0,MAP,t-Distribution,Sequential RNN
25,-0.04641249,2.3899007,1.3472701,0.93082684,0.7723866,5,5.0,MAP,t-Distribution,Sequential RNN
26,0.45447272,2.4804804,1.4913005,1.0962062,0.7327902,5,5.0,MAP,t-Distribution,Sequential RNN
27,-0.4709878,2.1857955,1.2090447,0.8189149,0.7235825,5,5.0,MAP,t-Distribution,Sequential RNN
