Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day
-0.018501958,-0.048648015,0.070052706,0.012942555,0.2711204,-0.1560342,-0.055197828,-0.0119285155,-0.29733813,0.04051065,-0.13167717,0.18768558,0.21390109,-0.097146094,-0.17463729,0.0058343885,0.14133972,0.36793125,-0.151375,0.021223502,0.1623205,0.15836246,-0.118692115,0.31193957,-0.011702572,-0.10955371,0.21912713,-0.0977708,0.2959119,1
-0.009282282,-0.058316056,0.07249885,0.0012184136,0.28138736,-0.1151326,-0.047636975,0.011874149,-0.28371096,0.080013394,-0.1596866,0.25287974,0.16426924,-0.07442216,-0.21374434,-0.0075243465,0.1275747,0.40738875,-0.19526973,0.027886301,0.122265436,0.048630226,-0.14413875,0.319836,0.02579992,-0.086235814,0.19846494,-0.10276782,0.355881,2
-0.03531855,-0.07330865,0.013906206,-0.066547565,0.27482694,0.025228884,0.009904347,0.120156206,-0.27233276,0.07311316,-0.122142665,0.15933475,0.12723579,0.012989386,-0.26203656,-0.06862668,0.08110744,0.47615796,-0.27059045,0.029626241,0.09998038,-0.049609322,-0.10572208,0.3003106,0.060770735,-0.04415748,0.20563279,-0.12128665,0.42139757,3
-0.01952012,-0.06995483,-0.0023487797,-0.055443276,0.27833217,0.074155025,-0.028987946,0.07583127,-0.24179491,0.04102124,-0.070528366,0.16827168,0.16391727,-0.01400849,-0.26174444,-0.0433469,0.084346674,0.47872424,-0.25129429,0.03842023,0.09740226,-0.062481944,-0.11941901,0.2582231,0.047928188,-0.021276144,0.16000922,-0.12728164,0.42284852,4
-0.011085037,-0.0635452,-0.050157584,-0.08436236,0.24116278,0.14559045,0.009135616,0.096536696,-0.25314686,0.021224232,-0.043830648,0.13562852,0.1463207,-0.029491656,-0.2668665,-0.045868117,0.08821764,0.5157257,-0.26877502,-0.00021282259,0.11534035,-0.036650777,-0.1028416,0.2317425,0.073929764,-0.0070266104,0.14612108,-0.15537463,0.4525594,5
-0.015778895,-0.07117384,-0.041583296,-0.05862276,0.24014777,0.12644841,-0.028844927,0.10905139,-0.21780854,0.04340979,0.02086817,0.13145769,0.14095308,-0.0018587313,-0.2603145,-0.03648759,0.07117585,0.4910493,-0.2495142,0.050143242,0.15031643,-0.088709265,-0.10224027,0.18475206,0.03083915,-0.06590521,0.14782847,-0.1479819,0.4483831,6
-0.020700313,-0.07320187,-0.031472854,-0.06831255,0.23474056,0.13551445,-0.014527746,0.11308591,-0.19720164,0.030264927,0.03138267,0.1064221,0.1549752,0.0074875024,-0.2487781,-0.015310864,0.059063736,0.48195127,-0.23182943,0.06004049,0.15327938,-0.11753086,-0.09003261,0.16447777,0.020479854,-0.06663905,0.12732436,-0.14565232,0.44070002,7
-0.021972788,-0.07906007,-0.07462044,-0.08633202,0.25865817,0.12182595,-0.025917744,0.11867796,-0.14585231,0.034726206,0.0463771,0.094987616,0.16616036,0.0110046975,-0.23165937,-0.022497253,0.030416008,0.43073493,-0.22525334,0.06893813,0.15843593,-0.10557012,-0.07123093,0.13629104,0.03461228,-0.07269879,0.15381598,-0.09721088,0.3942137,8
-0.042985834,-0.084249526,-0.119265884,-0.10366179,0.30194974,0.20904203,-0.026630372,0.11071514,-0.06431427,0.0681057,0.109643675,0.058406875,0.13510627,0.026229233,-0.24819747,0.017617285,-0.029286817,0.39465207,-0.21009727,-0.03998119,0.20474732,-0.1390525,-0.06398938,0.13301882,0.082629636,-0.04317407,0.12425984,-0.087325715,0.32608846,9
-0.004042762,-0.1034334,-0.116317265,-0.106772885,0.30068225,0.16499877,-0.026587617,0.10078779,-0.051952127,0.10219386,0.14202164,0.0710637,0.066911004,-0.058054015,-0.20046286,-0.016095,-0.040319134,0.39715806,-0.19516677,0.0110477,0.19465564,-0.08517968,-0.04343318,0.13014665,0.046852704,-0.06590439,0.14526105,-0.08197316,0.32191342,10
